no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,Cereales,Arroz,460 gms,169,5.67,2.08
2,Cereales,Avena de toda clase,460 gms,51,13.06,1.46
3,Cereales,Pan francés,460 gms,184,7.28,2.91
4,Cereales,Pan dulce,460 gms,226,6.88,3.39
5,Cereales,Pastas de todos los tipos,230 gms,65,4.67,1.32
6,Cereales,Tortillas de maíz,460 gms,1861,3.58,14.48
7,Carnes,Carne de res sin hueso,460 gms,107,27.85,6.47
8,Carnes,Carne de res con hueso,460 gms,105,16.28,3.73
9,Carnes,Carne de cerdo sin hueso,460 gms,93,20.83,4.22
10,Carnes,Carne de pollo o gallina,460 gms,159,12.83,4.42
11,Carnes,Embutidos,460 gms,64,12.85,1.79
12,Lácteos,Leche en polvo,460 gms,32,36.95,2.54
13,Lácteos,Leche líquida,1000 ml,266,12.14,3.23
14,Lácteos,Queso fresco o duro,460 gms,32,24.02,1.7
15,Lácteos,Crema fresca,250 ml,47,9.98,1.88
16,Huevos,Huevos de gallina,648 gms,138,12.94,2.75
17,Grasas y aceites,Aceites comestibles,750 ml,129,15.28,2.62
18,Frutas,Aguacates,460 gms,106,8.61,1.99
19,Frutas,Bananos/guineos,460 gms,268,2.56,1.49
20,Frutas,Plátanos,460 gms,214,2.75,1.28
21,Frutas,Piñas,460 gms,191,2.51,1.04
22,Frutas,Sandias,460 gms,222,2.0,0.96
23,Verduras/hortalizas,Tomate,460 gms,170,5.54,2.04
24,Verduras/hortalizas,Güisquil,460 gms,429,2.53,2.36
25,Verduras/hortalizas,Cebolla blanca sin tallo,460 gms,98,5.02,1.07
26,Verduras/hortalizas,Papas,460 gms,151,3.96,1.3
27,Verduras/hortalizas,Hierbas,460 gms,115,4.64,1.16
28,Leguminosas,Fríjol,460 gms,286,7.28,4.53
29,Azúcar,Azúcar,460 gms,429,3.32,3.09
30,Miscelánea,Preparación nutricional a base de maíz y soya,460 gms,57,9.49,1.17
31,Miscelánea,Sal,115 gms,45,0.33,0.13
32,Miscelánea,Sopas instantáneas en vaso,230 gms,15,14.63,0.93
33,Miscelánea,"Café en grano, molido, instantáneo",460 gms,43,41.3,3.87
34,Miscelánea,Aguas gaseosas,1000 ml,260,10.22,2.66
