no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.52,1.93
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.46,1.33
3,CEREALES,PAN FRANCÉS,460 gms,173,7.31,2.75
4,CEREALES,PAN DULCE,460 gms,216,6.87,3.23
5,CEREALES,PASTAS DE TODOS LOS TIPOS,230 gms,62,4.63,1.25
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.50,13.73
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.24,6.04
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,15.59,3.42
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.38,3.94
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,11.89,3.95
11,CARNES,EMBUTIDOS,460 gms,61,12.97,1.72
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,37.14,2.34
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,12.07,3.03
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,22.75,1.53
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.76,1.76
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.44,2.53
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.34,2.22
18,FRUTAS,AGUACATES,460 gms,104,8.50,1.92
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.45,1.40
20,FRUTAS,PLÁTANOS,460 gms,207,2.80,1.26
21,FRUTAS,PIÑAS,460 gms,186,2.48,1.00
22,FRUTAS,SANDIAS,460 gms,214,1.95,0.91
23,VERDURAS/ HORTALIZAS,TOMATE,460 gms,162,5.38,1.89
24,VERDURAS/ HORTALIZAS,GÜISQUIL,460 gms,409,2.65,2.36
25,VERDURAS/ HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.42,0.90
26,VERDURAS/ HORTALIZAS,PAPAS,460 gms,144,4.24,1.33
27,VERDURAS/ HORTALIZAS,HIERBAS,460 gms,110,3.82,0.91
28,LEGUMINOSAS,FRIJÓL,460 gms,277,7.63,4.59
29,AZÚCAR,AZÚCAR,460 gms,409,3.22,2.86
30,MISCELÁNEA,PREPARACION NUTRICIONAL A BASE DE MAÍZ Y SOYA,460 gms,53,9.12,1.05
31,MISCELÁNEA,SAL,115 gms,45,0.40,0.16
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,14.21,0.80
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,43.05,3.93
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,10.06,2.49
