no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,Cereales,Arroz,460 gms,169,6.56,2.41
2,Cereales,Avena de toda clase,460 gms,51,13.91,1.55
3,Cereales,Pan francés,460 gms,184,9.57,3.83
4,Cereales,Pan dulce,460 gms,226,9.03,4.44
5,Cereales,Pastas de todos los tipos,230 gms,65,5.5,1.55
6,Cereales,Tortillas de maíz,460 gms,1861,4.93,19.94
7,Carnes,Carne de res sin hueso,460 gms,107,31.89,7.41
8,Carnes,Carne de res con hueso,460 gms,105,19.56,4.48
9,Carnes,Carne de cerdo sin hueso,460 gms,93,23.73,4.81
10,Carnes,Carne de pollo o gallina,460 gms,159,14.38,4.96
11,Carnes,Embutidos,460 gms,64,14.92,2.07
12,Lácteos,Leche en polvo,460 gms,32,43.21,2.97
13,Lácteos,Leche líquida,1000 ml,266,13.74,3.66
14,Lácteos,Queso fresco o duro,460 gms,32,28.07,1.98
15,Lácteos,Crema fresca,250 ml,47,11.0,2.08
16,Huevos,Huevos de gallina,648 gms,138,18.34,3.9
17,Grasas y aceites,Aceites comestibles,750 ml,129,19.42,3.33
18,Frutas,Aguacates,460 gms,106,10.18,2.35
19,Frutas,Bananos/guineos,460 gms,268,2.69,1.57
20,Frutas,Plátanos,460 gms,214,3.7,1.72
21,Frutas,Piñas,460 gms,191,2.64,1.1
22,Frutas,Sandias,460 gms,222,2.35,1.13
23,Verduras/hortalizas,Tomate,460 gms,170,6.02,2.22
24,Verduras/hortalizas,Güisquil,460 gms,429,2.85,2.66
25,Verduras/hortalizas,Cebolla blanca sin tallo,460 gms,98,4.42,0.95
26,Verduras/hortalizas,Papas,460 gms,151,5.63,1.85
27,Verduras/hortalizas,Hierbas,460 gms,115,6.05,1.52
28,Leguminosas,Frijol,460 gms,286,9.14,5.68
29,Azúcar,Azúcar,460 gms,429,3.86,3.6
30,Miscelánea,Preparación nutricional a base de maíz y soya,460 gms,57,11.05,1.37
31,Miscelánea,Sal,115 gms,45,0.38,0.15
32,Miscelánea,Sopas instantáneas en vaso,230 gms,15,16.45,1.04
33,Miscelánea,"Café en grano, molido, instantáneo",460 gms,43,45.23,4.24
34,Miscelánea,Aguas gaseosas,1000 ml,260,10.97,2.85
