no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,Cereales,Arroz,460 gms,169,5.73,2.1
2,Cereales,Avena de toda clase,460 gms,51,13.12,1.46
3,Cereales,Pan francés,460 gms,184,7.41,2.96
4,Cereales,Pan dulce,460 gms,226,7.01,3.45
5,Cereales,Pastas de todos los tipos,230 gms,65,4.68,1.32
6,Cereales,Tortillas de maíz,460 gms,1861,3.6,14.56
7,Carnes,Carne de res sin hueso,460 gms,107,27.98,6.5
8,Carnes,Carne de res con hueso,460 gms,105,16.43,3.76
9,Carnes,Carne de cerdo sin hueso,460 gms,93,20.85,4.23
10,Carnes,Carne de pollo o gallina,460 gms,159,12.88,4.44
11,Carnes,Embutidos,460 gms,64,12.88,1.79
12,Lácteos,Leche en polvo,460 gms,32,37.08,2.55
13,Lácteos,Leche líquida,1000 ml,266,12.07,3.21
14,Lácteos,Queso fresco o duro,460 gms,32,24.06,1.7
15,Lácteos,Crema fresca,250 ml,47,10.04,1.89
16,Huevos,Huevos de gallina,648 gms,138,13.31,2.83
17,Grasas y aceites,Aceites comestibles,750 ml,129,16.17,2.77
18,Frutas,Aguacates,460 gms,106,8.46,1.95
19,Frutas,Bananos/guineos,460 gms,268,2.54,1.48
20,Frutas,Plátanos,460 gms,214,2.76,1.28
21,Frutas,Piñas,460 gms,191,2.51,1.04
22,Frutas,Sandias,460 gms,222,2.09,1.01
23,Verduras/hortalizas,Tomate,460 gms,170,5.81,2.14
24,Verduras/hortalizas,Güisquil,460 gms,429,2.5,2.33
25,Verduras/hortalizas,Cebolla blanca sin tallo,460 gms,98,5.14,1.1
26,Verduras/hortalizas,Papas,460 gms,151,4.05,1.33
27,Verduras/hortalizas,Hierbas,460 gms,115,4.62,1.16
28,Leguminosas,Fríjol,460 gms,286,7.51,4.67
29,Azúcar,Azúcar,460 gms,429,3.32,3.09
30,Miscelánea,Preparación nutricional a base de maíz y soya,460 gms,57,9.51,1.18
31,Miscelánea,Sal,115 gms,45,0.33,0.13
32,Miscelánea,Sopas instantáneas en vaso,230 gms,15,14.62,0.93
33,Miscelánea,"Café en grano, molido, instantáneo",460 gms,43,41.42,3.88
34,Miscelánea,Aguas gaseosas,1000 ml,260,10.23,2.66
