no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.97,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.39,1.32
3,CEREALES,PAN FRANCÉS,460 gms,173,7.13,2.68
4,CEREALES,PAN DULCE,460 gms,216,6.61,3.10
5,CEREALES,FIDEOS,230 gms,62,4.46,1.20
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.58,14.04
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.17,6.25
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.72,3.67
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.57,3.98
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.53,4.17
11,CARNES,EMBUTIDOS,460 gms,61,12.59,1.67
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.78,2.26
13,LÁCTEOS,LECHE LÍQUIDA,1000 ml,251,11.39,2.86
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,24.41,1.65
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.84,1.77
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.54,2.55
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.98,2.16
18,FRUTAS,AGUACATES,460 gms,104,9.02,2.04
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.50,1.42
20,FRUTAS,PLÁTANOS,460 gms,207,2.69,1.21
21,FRUTAS,PIÑAS,460 gms,186,2.58,1.04
22,FRUTAS,SANDIAS,460 gms,214,2.03,0.94
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.04,1.42
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.36,2.10
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,3.62,0.74
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.41,1.07
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,3.67,0.88
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.50,3.91
29,AZÚCAR,AZÚCAR,460 gms,409,3.15,2.80
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.90,1.03
31,MISCELÁNEA,SAL,115 gms,45,0.36,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.55,0.77
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.46,3.88
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.33,2.31
