no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.98,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.30,1.31
3,CEREALES,PAN FRANCÉS,460 gms,173,7.20,2.71
4,CEREALES,PAN DULCE,460 gms,216,6.64,3.12
5,CEREALES,FIDEOS,230 gms,62,4.40,1.19
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.49,13.69
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.21,6.26
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.70,3.67
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.58,3.98
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.55,4.17
11,CARNES,EMBUTIDOS,460 gms,61,12.60,1.67
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.74,2.25
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.44,2.87
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.91,1.61
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.83,1.77
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.88,2.62
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.12,2.19
18,FRUTAS,AGUACATES,460 gms,104,8.84,2.00
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.39,1.36
20,FRUTAS,PLÁTANOS,460 gms,207,2.70,1.22
21,FRUTAS,PIÑAS,460 gms,186,2.48,1.00
22,FRUTAS,SANDIAS,460 gms,214,1.89,0.88
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.12,1.45
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.34,2.08
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,3.70,0.76
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.38,1.06
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,3.69,0.88
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.53,3.93
29,AZÚCAR,AZÚCAR,460 gms,409,3.14,2.79
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.98,1.03
31,MISCELÁNEA,SAL,115 gms,45,0.36,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.42,0.76
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.53,3.88
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.24,2.29
