no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.96,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.36,1.32
3,CEREALES,PAN FRANCÉS,460 gms,173,7.47,2.81
4,CEREALES,PAN DULCE,460 gms,216,6.55,3.08
5,CEREALES,FIDEOS,230 gms,62,4.42,1.19
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.42,13.41
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.25,6.26
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.46,3.61
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.68,4.00
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.55,4.17
11,CARNES,EMBUTIDOS,460 gms,61,12.48,1.65
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.96,2.27
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.37,2.85
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.70,1.60
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.74,1.75
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,13.56,2.76
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.13,2.19
18,FRUTAS,AGUACATES,460 gms,104,8.22,1.86
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.40,1.37
20,FRUTAS,PLÁTANOS,460 gms,207,2.88,1.30
21,FRUTAS,PIÑAS,460 gms,186,2.45,0.99
22,FRUTAS,SANDIAS,460 gms,214,1.90,0.88
23,VERDURAS/ HORTALIZAS,TOMATE,460 gms,162,4.07,1.43
24,VERDURAS/ HORTALIZAS,GÜISQUIL,460 gms,409,2.47,2.20
25,VERDURAS/ HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,3.46,0.71
26,VERDURAS/ HORTALIZAS,PAPAS,460 gms,144,3.32,1.04
27,VERDURAS/ HORTALIZAS,HIERBAS,460 gms,110,3.66,0.88
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.61,3.98
29,AZÚCAR,AZÚCAR,460 gms,409,3.14,2.79
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.94,1.03
31,MISCELÁNEA,SAL,115 gms,45,0.36,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.48,0.76
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.93,3.92
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.31,2.31
