no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.54,1.94
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.72,1.35
3,CEREALES,PAN FRANCÉS,460 gms,173,7.21,2.71
4,CEREALES,PAN DULCE,460 gms,216,6.88,3.23
5,CEREALES,PASTAS DE TODOS LOS TIPOS,230 gms,62,4.61,1.24
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.44,13.49
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.17,6.02
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,15.57,3.42
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.37,3.94
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,11.83,3.93
11,CARNES,EMBUTIDOS,460 gms,61,13.06,1.73
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,37.03,2.33
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.85,2.97
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,22.7,1.53
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.77,1.76
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.47,2.54
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.23,2.21
18,FRUTAS,AGUACATES,460 gms,104,7.65,1.73
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.4,1.37
20,FRUTAS,PLÁTANOS,460 gms,207,2.78,1.25
21,FRUTAS,PIÑAS,460 gms,186,2.68,1.08
22,FRUTAS,SANDIAS,460 gms,214,2.09,0.97
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,5.25,1.85
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.53,2.25
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,5.54,1.13
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,4.23,1.32
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,4.23,1.01
28,LEGUMINOSAS,FRIJÓL,460 gms,277,7.6,4.58
29,AZÚCAR,AZÚCAR,460 gms,409,3.2,2.85
30,MISCELÁNEA,PREPARACION NUTRICIONAL A BASE DE MAÍZ Y SOYA,460 gms,53,9.17,1.06
31,MISCELÁNEA,SAL,115 gms,45,0.4,0.16
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,14.24,0.8
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.66,3.9
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,10.1,2.5
