no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.01,1.75
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.27,1.31
3,CEREALES,PAN FRANCÉS,460 gms,173,7.24,2.72
4,CEREALES,PAN DULCE,460 gms,216,6.49,3.05
5,CEREALES,FIDEOS,230 gms,62,4.34,1.17
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.59,14.08
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.84,6.17
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.26,3.57
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.22,3.91
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.49,4.15
11,CARNES,EMBUTIDOS,460 gms,61,12.81,1.70
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.70,2.25
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.54,2.90
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.76,1.60
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.94,1.79
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.43,2.53
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.89,2.15
18,FRUTAS,AGUACATES,460 gms,104,8.10,1.83
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.37,1.35
20,FRUTAS,PLÁTANOS,460 gms,207,2.62,1.18
21,FRUTAS,PIÑAS,460 gms,186,2.50,1.01
22,FRUTAS,SANDIAS,460 gms,214,1.92,0.89
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.70,1.66
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,3.11,2.77
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,5.87,1.20
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,4.57,1.43
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,3.98,0.95
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.52,3.93
29,AZÚCAR,AZÚCAR,460 gms,409,3.14,2.79
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.87,1.02
31,MISCELÁNEA,SAL,115 gms,45,0.39,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.78,0.78
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,40.69,3.72
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.47,2.35
