no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,Cereales,Arroz,460 gms,169,6.83,2.5
2,Cereales,Avena de toda clase,460 gms,51,14.44,1.61
3,Cereales,Pan francés,460 gms,184,9.84,3.93
4,Cereales,Pan dulce,460 gms,226,9.1,4.48
5,Cereales,Pastas de todos los tipos,230 gms,65,5.58,1.58
6,Cereales,Tortillas de maíz,460 gms,1861,5.05,20.43
7,Carnes,Carne de res sin hueso,460 gms,107,32.48,7.55
8,Carnes,Carne de res con hueso,460 gms,105,20.03,4.59
9,Carnes,Carne de cerdo sin hueso,460 gms,93,23.61,4.79
10,Carnes,Carne de pollo o gallina,460 gms,159,14.88,5.13
11,Carnes,Embutidos,460 gms,64,15.21,2.11
12,Lácteos,Leche en polvo,460 gms,32,45.24,3.11
13,Lácteos,Leche líquida,1000 ml,266,14.88,3.96
14,Lácteos,Queso fresco o duro,460 gms,32,27.73,1.96
15,Lácteos,Crema fresca,250 ml,47,11.57,2.18
16,Huevos,Huevos de gallina,648 gms,138,16.3,3.46
17,Grasas y aceites,Aceites comestibles,750 ml,129,19.7,3.38
18,Frutas,Aguacates,460 gms,106,11.62,2.68
19,Frutas,Bananos/guineos,460 gms,268,2.77,1.61
20,Frutas,Plátanos,460 gms,214,4.33,2.01
21,Frutas,Piñas,460 gms,191,3.01,1.25
22,Frutas,Sandias,460 gms,222,2.67,1.29
23,Verduras/hortalizas,Tomate,460 gms,170,6.81,2.51
24,Verduras/hortalizas,Güisquil,460 gms,429,3.09,2.88
25,Verduras/hortalizas,Cebolla blanca sin tallo,460 gms,98,6.12,1.31
26,Verduras/hortalizas,Papas,460 gms,151,5.09,1.67
27,Verduras/hortalizas,Hierbas,460 gms,115,5.52,1.38
28,Leguminosas,Frijol,460 gms,286,9.81,6.1
29,Azúcar,Azúcar,460 gms,429,4.2,3.91
30,Miscelánea,Preparación nutricional a base de maíz y soya,460 gms,57,11.34,1.4
31,Miscelánea,Sal,115 gms,45,0.36,0.14
32,Miscelánea,Sopas instantáneas en vaso,230 gms,15,16.61,1.05
33,Miscelánea,"Café en grano, molido, instantáneo",460 gms,43,46.63,4.37
34,Miscelánea,Aguas gaseosas,1000 ml,260,11.36,2.95
