no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.04,1.76
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.64,1.35
3,CEREALES,PAN FRANCÉS,460 gms,173,7.14,2.69
4,CEREALES,PAN DULCE,460 gms,216,6.81,3.20
5,CEREALES,FIDEOS,230 gms,62,4.33,1.17
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.53,13.84
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.35,6.06
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.41,3.60
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.12,3.89
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.28,4.08
11,CARNES,EMBUTIDOS,460 gms,61,12.61,1.67
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,36.06,2.27
13,LÁCTEOS,LECHE LÍQUIDA,1000 ml,251,11.76,2.95
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,22.98,1.55
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.92,1.79
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.99,2.65
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.95,2.16
18,FRUTAS,AGUACATES,460 gms,104,7.69,1.74
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.35,1.34
20,FRUTAS,PLÁTANOS,460 gms,207,2.86,1.29
21,FRUTAS,PIÑAS,460 gms,186,2.46,0.99
22,FRUTAS,SANDÍAS,460 gms,214,1.96,0.91
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.46,1.57
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.49,2.21
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.47,0.91
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.92,1.23
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,4.23,1.01
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.49,3.91
29,AZÚCAR,AZÚCAR,460 gms,409,3.17,2.82
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.96,1.03
31,MISCELÁNEA,SAL,115 gms,45,0.39,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.43,0.76
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.74,3.90
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.48,2.35
