no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.97,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.43,1.32
3,CEREALES,PAN FRANCÉS,460 gms,173,7.20,2.71
4,CEREALES,PAN DULCE,460 gms,216,6.53,3.07
5,CEREALES,FIDEOS,230 gms,62,4.40,1.19
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.45,13.53
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.44,6.31
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.75,3.68
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.72,4.01
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.46,4.14
11,CARNES,EMBUTIDOS,460 gms,61,12.47,1.65
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,37.00,2.33
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.34,2.85
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,24.04,1.62
15,LÁCTEOS,CREMA FRESCA,250 ml,45,10.29,1.85
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.84,2.62
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.40,2.23
18,FRUTAS,AGUACATES,460 gms,104,7.94,1.80
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.46,1.40
20,FRUTAS,PLÁTANOS,460 gms,207,2.99,1.35
21,FRUTAS,PIÑAS,460 gms,186,2.44,0.99
22,FRUTAS,SANDÍAS,460 gms,214,2.22,1.03
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,5.22,1.84
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.08,1.85
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,5.12,1.05
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.47,1.09
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,4.02,0.96
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.72,4.05
29,AZÚCAR,AZÚCAR,460 gms,409,3.16,2.81
30,MISCELÁNEA,INCAPARINA,460 gms,53,9.11,1.05
31,MISCELÁNEA,SAL,115 gms,45,0.36,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.42,0.76
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,45.04,4.11
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.48,2.35
