no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.97,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.41,1.32
3,CEREALES,PAN FRANCÉS,460 gms,173,7.13,2.68
4,CEREALES,PAN DULCE,460 gms,216,6.58,3.09
5,CEREALES,FIDEOS,230 gms,62,4.40,1.19
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.44,13.49
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.24,6.26
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.68,3.66
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.71,4.01
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.44,4.14
11,CARNES,EMBUTIDOS,460 gms,61,12.28,1.63
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,36.85,2.32
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.37,2.85
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.63,1.59
15,LÁCTEOS,CREMA FRESCA,250 ml,45,10.33,1.86
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.84,2.62
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.39,2.23
18,FRUTAS,AGUACATES,460 gms,104,8.01,1.81
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.43,1.38
20,FRUTAS,PLÁTANOS,460 gms,207,2.94,1.32
21,FRUTAS,PIÑAS,460 gms,186,2.49,1.01
22,FRUTAS,SANDIAS,460 gms,214,2.05,0.95
23,VERDURAS/ HORTALIZAS,TOMATE,460 gms,162,4.97,1.75
24,VERDURAS/ HORTALIZAS,GÜISQUIL,460 gms,409,2.13,1.89
25,VERDURAS/ HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.58,0.94
26,VERDURAS/ HORTALIZAS,PAPAS,460 gms,144,3.51,1.10
27,VERDURAS/ HORTALIZAS,HIERBAS,460 gms,110,4.11,0.98
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.73,4.05
29,AZÚCAR,AZÚCAR,460 gms,409,3.17,2.82
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.99,1.04
31,MISCELÁNEA,SAL,115 gms,45,0.36,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.46,0.76
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,44.36,4.05
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.48,2.35
