no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.98,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.24,1.30
3,CEREALES,PAN FRANCÉS,460 gms,173,7.24,2.72
4,CEREALES,PAN DULCE,460 gms,216,6.74,3.16
5,CEREALES,FIDEOS,230 gms,62,4.40,1.19
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.66,14.35
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.05,6.22
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.49,3.62
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.46,3.96
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.41,4.13
11,CARNES,EMBUTIDOS,460 gms,61,12.82,1.70
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.80,2.26
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.52,2.89
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.51,1.58
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.83,1.77
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.58,2.56
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.87,2.15
18,FRUTAS,AGUACATES,460 gms,104,7.91,1.79
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.50,1.42
20,FRUTAS,PLÁTANOS,460 gms,207,2.65,1.19
21,FRUTAS,PIÑAS,460 gms,186,2.61,1.06
22,FRUTAS,SANDIAS,460 gms,214,2.25,1.05
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.59,1.62
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.24,1.99
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.26,0.87
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.34,1.05
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,4.10,0.98
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.65,4.00
29,AZÚCAR,AZÚCAR,460 gms,409,3.17,2.82
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.93,1.03
31,MISCELÁNEA,SAL,115 gms,45,0.38,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.57,0.77
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,41.46,3.79
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.35,2.32
