no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,169,5.57,2.04
2,CEREALES,AVENA DE TODA CLASE,460 gms,51,12.44,1.39
3,CEREALES,PAN FRANCÉS,460 gms,184,7.29,2.91
4,CEREALES,PAN DULCE,460 gms,226,6.9,3.4
5,CEREALES,PASTAS DE TODOS LOS TIPOS,230 gms,65,4.6,1.3
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,1861,3.43,13.88
7,CARNES,CARNE DE RES SIN HUESO,460 gms,107,27.19,6.32
8,CARNES,CARNE DE RES CON HUESO,460 gms,105,15.69,3.59
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,93,20.5,4.16
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,159,11.8,4.07
11,CARNES,EMBUTIDOS,460 gms,64,12.84,1.78
12,LÁCTEOS,LECHE EN POLVO,460 gms,32,36.92,2.54
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,266,11.92,3.18
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,32,24.11,1.7
15,LÁCTEOS,CREMA FRESCA,250 ml,47,9.92,1.87
16,HUEVOS,HUEVOS DE GALLINA,648 gms,138,12.92,2.75
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,129,13.35,2.29
18,FRUTAS,AGUACATES,460 gms,106,7.96,1.84
19,FRUTAS,BANANOS/GUINEOS,460 gms,268,2.48,1.44
20,FRUTAS,PLÁTANOS,460 gms,214,2.8,1.3
21,FRUTAS,PIÑAS,460 gms,191,2.49,1.04
22,FRUTAS,SANDIAS,460 gms,222,1.97,0.95
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,170,5.08,1.87
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,429,2.61,2.43
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,98,4.67,1.0
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,151,4.4,1.44
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,115,4.36,1.09
28,LEGUMINOSAS,FRIJÓL,460 gms,286,7.22,4.49
29,AZÚCAR,AZÚCAR,460 gms,429,3.3,3.07
30,MISCELÁNEA,PREPARACION NUTRICIONAL A BASE DE MAÍZ Y SOYA,460 gms,57,9.12,1.13
31,MISCELÁNEA,SAL,115 gms,45,0.38,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,15,14.24,0.9
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,43,42.83,4.01
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,260,10.08,2.62
