no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.09,1.78
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.73,1.36
3,CEREALES,PAN FRANCÉS,460 gms,173,7.35,2.76
4,CEREALES,PAN DULCE,460 gms,216,7.37,3.46
5,CEREALES,FIDEOS,230 gms,62,4.42,1.19
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,1804,3.60,14.12
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.18,6.03
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,15.60,3.43
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.22,3.91
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,11.98,3.98
11,CARNES,EMBUTIDOS,460 gms,61,12.68,1.68
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,36.96,2.33
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,12.02,3.02
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.30,1.57
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.87,1.78
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,13.86,2.82
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.18,2.20
18,FRUTAS,AGUACATES,460 gms,104,8.74,1.98
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.36,1.34
20,FRUTAS,PLÁTANOS,460 gms,207,2.69,1.21
21,FRUTAS,PIÑAS,460 gms,186,2.54,1.03
22,FRUTAS,SANDIAS,460 gms,214,1.84,0.86
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.58,1.61
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.56,2.28
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.23,0.86
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,4.79,1.50
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,4.63,1.11
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.81,4.10
29,AZÚCAR,AZÚCAR,460 gms,409,3.21,2.85
30,MISCELÁNEA,INCAPARINA,460 gms,53,9.15,1.05
31,MISCELÁNEA,SAL,115 gms,45,0.41,0.16
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.65,0.77
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.76,3.90
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,10.05,2.49
