no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.98,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.21,1.30
3,CEREALES,PAN FRANCÉS,460 gms,173,7.26,2.73
4,CEREALES,PAN DULCE,460 gms,216,6.61,3.10
5,CEREALES,FIDEOS,230 gms,62,4.37,1.18
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.61,14.16
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.92,6.19
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.40,3.60
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.24,3.92
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.32,4.10
11,CARNES,EMBUTIDOS,460 gms,61,12.74,1.69
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.97,2.27
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.69,2.93
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,24.04,1.62
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.79,1.76
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.45,2.54
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.78,2.13
18,FRUTAS,AGUACATES,460 gms,104,7.37,1.67
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.41,1.37
20,FRUTAS,PLÁTANOS,460 gms,207,2.84,1.28
21,FRUTAS,PIÑAS,460 gms,186,2.58,1.04
22,FRUTAS,SANDIAS,460 gms,214,1.88,0.87
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,5.08,1.79
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.15,1.91
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,6.43,1.31
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.26,1.02
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,4.30,1.03
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.53,3.93
29,AZÚCAR,AZÚCAR,460 gms,409,3.15,2.80
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.84,1.02
31,MISCELÁNEA,SAL,115 gms,45,0.39,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.66,0.77
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,40.92,3.74
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,10.68,2.65
