no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.97,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.62,1.34
3,CEREALES,PAN FRANCÉS,460 gms,173,7.17,2.70
4,CEREALES,PAN DULCE,460 gms,216,6.53,3.07
5,CEREALES,FIDEOS,230 gms,62,4.25,1.15
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.43,13.45
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.41,6.30
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.82,3.69
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.84,4.03
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.44,4.14
11,CARNES,EMBUTIDOS,460 gms,61,12.99,1.72
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,37.19,2.34
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.46,2.88
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,24.01,1.62
15,LÁCTEOS,CREMA FRESCA,250 ml,45,10.25,1.85
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.12,2.47
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.57,2.26
18,FRUTAS,AGUACATES,460 gms,104,8.68,1.96
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.36,1.34
20,FRUTAS,PLÁTANOS,460 gms,207,2.69,1.21
21,FRUTAS,PIÑAS,460 gms,186,2.34,0.95
22,FRUTAS,SANDIAS,460 gms,214,2.13,0.99
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.22,1.49
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.02,1.80
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,6.03,1.23
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.20,1.00
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,3.44,0.82
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.71,4.04
29,AZÚCAR,AZÚCAR,460 gms,409,3.15,2.80
30,MISCELÁNEA,INCAPARINA,460 gms,53,9.23,1.06
31,MISCELÁNEA,SAL,115 gms,45,0.36,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.24,0.75
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,46.61,4.26
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.50,2.36
