no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.47,1.91
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.50,1.33
3,CEREALES,PAN FRANCÉS,460 gms,173,7.32,2.75
4,CEREALES,PAN DULCE,460 gms,216,7.02,3.30
5,CEREALES,PASTAS ALIMENTICIAS,230 gms,62,4.60,1.24
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,1804,3.53,13.84
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.31,6.06
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,15.59,3.42
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.40,3.95
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,11.96,3.98
11,CARNES,EMBUTIDOS,460 gms,61,12.82,1.70
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,37.21,2.35
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,12.05,3.02
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.33,1.57
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.77,1.76
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.65,2.58
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.27,2.21
18,FRUTAS,AGUACATES,460 gms,104,8.53,1.93
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.47,1.41
20,FRUTAS,PLÁTANOS,460 gms,207,2.73,1.23
21,FRUTAS,PIÑAS,460 gms,186,2.60,1.05
22,FRUTAS,SANDIAS,460 gms,214,1.84,0.86
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,5.75,2.03
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.72,2.42
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,3.99,0.82
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,4.50,1.41
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,3.93,0.94
28,LEGUMINOSAS,FRIJÓL,460 gms,277,7.51,4.52
29,AZÚCAR,AZÚCAR,460 gms,409,3.20,2.85
30,MISCELÁNEA,PREPARACION NUTRICIONAL A BASE DE MAÍZ Y SOYA,460 gms,53,9.15,1.05
31,MISCELÁNEA,SAL,115 gms,45,0.41,0.16
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,14.07,0.80
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,43.01,3.93
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,10.05,2.49
