no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,Cereales,Arroz,460 gms,169,5.57,2.04
2,Cereales,Avena de toda clase,460 gms,51,12.67,1.41
3,Cereales,Pan francés,460 gms,184,7.25,2.9
4,Cereales,Pan dulce,460 gms,226,6.85,3.37
5,Cereales,Pastas de todos los tipos,230 gms,65,4.67,1.32
6,Cereales,Tortillas de maíz,460 gms,1861,3.54,14.32
7,Carnes,Carne de res sin hueso,460 gms,107,27.58,6.41
8,Carnes,Carne de res con hueso,460 gms,105,15.92,3.65
9,Carnes,Carne de cerdo sin hueso,460 gms,93,20.72,4.2
10,Carnes,Carne de pollo o gallina,460 gms,159,12.67,4.37
11,Carnes,Embutidos,460 gms,64,12.83,1.78
12,Lácteos,Leche en polvo,460 gms,32,36.42,2.5
13,Lácteos,Leche líquida,1000 ml,266,12.07,3.21
14,Lácteos,Queso fresco o duro,460 gms,32,23.64,1.67
15,Lácteos,Crema fresca,250 ml,47,9.92,1.87
16,Huevos,Huevos de gallina,648 gms,138,12.88,2.74
17,Grasas y aceites,Aceites comestibles,750 ml,129,14.05,2.41
18,Frutas,Aguacates,460 gms,106,8.37,1.93
19,Frutas,Bananos/guineos,460 gms,268,2.56,1.49
20,Frutas,Plátanos,460 gms,214,2.79,1.3
21,Frutas,Piñas,460 gms,191,2.39,0.99
22,Frutas,Sandías,460 gms,222,1.81,0.87
23,Verduras/hortalizas,Tomate,460 gms,170,4.7,1.73
24,Verduras/hortalizas,Güisquil,460 gms,429,2.55,2.38
25,Verduras/hortalizas,Cebolla blanca sin tallo,460 gms,98,3.64,0.78
26,Verduras/hortalizas,Papas,460 gms,151,4.04,1.33
27,Verduras/hortalizas,Hierbas,460 gms,115,4.39,1.1
28,Leguminosas,Fríjol,460 gms,286,7.28,4.53
29,Azúcar,Azúcar,460 gms,429,3.32,3.09
30,Miscelánea,Preparación nutricional a base de maíz y soya,460 gms,57,9.22,1.14
31,Miscelánea,Sal,115 gms,45,0.33,0.13
32,Miscelánea,Sopas instantáneas en vaso,230 gms,15,14.47,0.92
33,Miscelánea,"Café en grano, molido, instantáneo",460 gms,43,41.22,3.86
34,Miscelánea,Aguas gaseosas,1000 ml,260,10.18,2.65
