no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.97,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.21,1.30
3,CEREALES,PAN FRANCÉS,460 gms,173,7.17,2.70
4,CEREALES,PAN DULCE,460 gms,216,6.51,3.06
5,CEREALES,FIDEOS,230 gms,62,4.41,1.19
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.40,13.33
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.22,6.26
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.47,3.62
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.54,3.97
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.53,4.17
11,CARNES,EMBUTIDOS,460 gms,61,12.54,1.66
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.87,2.26
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.43,2.87
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,24.02,1.62
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.84,1.77
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,13.20,2.69
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.03,2.17
18,FRUTAS,AGUACATES,460 gms,104,8.72,1.97
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.37,1.35
20,FRUTAS,PLÁTANOS,460 gms,207,2.73,1.23
21,FRUTAS,PIÑAS,460 gms,186,2.39,0.97
22,FRUTAS,SANDIAS,460 gms,214,1.83,0.85
23,VERDURAS/ HORTALIZAS,TOMATE,460 gms,162,4.06,1.43
24,VERDURAS/ HORTALIZAS,GÜISQUIL,460 gms,409,2.38,2.12
25,VERDURAS/ HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,3.52,0.72
26,VERDURAS/ HORTALIZAS,PAPAS,460 gms,144,3.48,1.09
27,VERDURAS/ HORTALIZAS,HIERBAS,460 gms,110,3.55,0.85
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.60,3.97
29,AZÚCAR,AZÚCAR,460 gms,409,3.14,2.79
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.78,1.01
31,MISCELÁNEA,SAL,115 gms,45,0.36,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.36,0.76
33,MISCELÁNEA,CAFÉ EN GRANO, MOLIDO, INSTANTANEO,460 gms,42,42.68,3.90
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.25,2.29
