no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,Cereales,Arroz,460 gms,169,6.83,2.5
2,Cereales,Avena de toda clase,460 gms,51,14.7,1.64
3,Cereales,Pan francés,460 gms,184,9.86,3.94
4,Cereales,Pan dulce,460 gms,226,9.07,4.46
5,Cereales,Pastas de todos los tipos,230 gms,65,5.6,1.58
6,Cereales,Tortillas de maíz,460 gms,1861,5.23,21.16
7,Carnes,Carne de res sin hueso,460 gms,107,32.82,7.63
8,Carnes,Carne de res con hueso,460 gms,105,20.36,4.66
9,Carnes,Carne de cerdo sin hueso,460 gms,93,23.84,4.83
10,Carnes,Carne de pollo o gallina,460 gms,159,15.09,5.2
11,Carnes,Embutidos,460 gms,64,15.61,2.17
12,Lácteos,Leche en polvo,460 gms,32,45.16,3.1
13,Lácteos,Leche líquida,1000 ml,266,14.78,3.94
14,Lácteos,Queso fresco o duro,460 gms,32,27.91,1.97
15,Lácteos,Crema fresca,250 ml,47,11.58,2.18
16,Huevos,Huevos de gallina,648 gms,138,17.09,3.63
17,Grasas y aceites,Aceites comestibles,750 ml,129,19.89,3.41
18,Frutas,Aguacates,460 gms,106,11.49,2.65
19,Frutas,Bananos/guineos,460 gms,268,2.99,1.74
20,Frutas,Plátanos,460 gms,214,4.68,2.18
21,Frutas,Piñas,460 gms,191,3.17,1.32
22,Frutas,Sandias,460 gms,222,2.8,1.35
23,Verduras/hortalizas,Tomate,460 gms,170,7.67,2.83
24,Verduras/hortalizas,Güisquil,460 gms,429,3.38,3.15
25,Verduras/hortalizas,Cebolla blanca sin tallo,460 gms,98,6.85,1.47
26,Verduras/hortalizas,Papas,460 gms,151,6.78,2.22
27,Verduras/hortalizas,Hierbas,460 gms,115,5.85,1.47
28,Leguminosas,Frijol,460 gms,286,10.17,6.32
29,Azúcar,Azúcar,460 gms,429,4.27,3.98
30,Miscelánea,Preparación nutricional a base de maíz y soya,460 gms,57,11.34,1.4
31,Miscelánea,Sal,115 gms,45,0.36,0.14
32,Miscelánea,Sopas instantáneas en vaso,230 gms,15,16.68,1.06
33,Miscelánea,"Café en grano, molido, instantáneo",460 gms,43,46.77,4.38
34,Miscelánea,Aguas gaseosas,1000 ml,260,11.47,2.98
