no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.97,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.43,1.32
3,CEREALES,PAN FRANCÉS,460 gms,173,7.28,2.74
4,CEREALES,PAN DULCE,460 gms,216,6.49,3.05
5,CEREALES,FIDEOS,230 gms,62,4.36,1.18
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.38,13.26
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.42,6.30
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.79,3.69
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.86,4.04
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.48,4.15
11,CARNES,EMBUTIDOS,460 gms,61,12.46,1.65
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,37.38,2.36
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.33,2.84
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.60,1.59
15,LÁCTEOS,CREMA FRESCA,250 ml,45,10.07,1.81
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.36,2.52
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.51,2.25
18,FRUTAS,AGUACATES,460 gms,104,8.07,1.82
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.35,1.34
20,FRUTAS,PLÁTANOS,460 gms,207,2.75,1.24
21,FRUTAS,PIÑAS,460 gms,186,2.30,0.93
22,FRUTAS,SANDIAS,460 gms,214,2.32,1.08
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.50,1.58
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.18,1.94
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,6.04,1.23
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.46,1.08
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,3.67,0.88
28,LEGUMINOSAS,FRÍJOL,460 gms,277,6.69,4.03
29,AZÚCAR,AZÚCAR,460 gms,409,3.16,2.81
30,MISCELÁNEA,INCAPARINA,460 gms,53,9.15,1.05
31,MISCELÁNEA,SAL,115 gms,45,0.36,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.29,0.75
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,46.03,4.20
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.45,2.34
